GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US01001,01001,"Autauga County, Alabama",00,Total for all sectors,2015,844,10454,76437,321433
0500000US01003,01003,"Baldwin County, Alabama",00,Total for all sectors,2015,5127,58868,436179,1887256
0500000US01005,01005,"Barbour County, Alabama",00,Total for all sectors,2015,453,6853,59297,242449
0500000US01007,01007,"Bibb County, Alabama",00,Total for all sectors,2015,280,3421,29899,127017
0500000US01009,01009,"Blount County, Alabama",00,Total for all sectors,2015,654,6508,45166,193072
0500000US01011,01011,"Bullock County, Alabama",00,Total for all sectors,2015,103,2193,14082,64334
0500000US01013,01013,"Butler County, Alabama",00,Total for all sectors,2015,412,6017,43143,186131
0500000US01015,01015,"Calhoun County, Alabama",00,Total for all sectors,2015,2300,35910,282177,1166066
0500000US01017,01017,"Chambers County, Alabama",00,Total for all sectors,2015,546,5990,46566,195455
0500000US01019,01019,"Cherokee County, Alabama",00,Total for all sectors,2015,355,3903,27358,119481
0500000US01021,01021,"Chilton County, Alabama",00,Total for all sectors,2015,734,7585,58700,249863
0500000US01023,01023,"Choctaw County, Alabama",00,Total for all sectors,2015,256,2782,33968,139524
0500000US01025,01025,"Clarke County, Alabama",00,Total for all sectors,2015,590,7089,58480,243365
0500000US01027,01027,"Clay County, Alabama",00,Total for all sectors,2015,190,3165,22810,93186
0500000US01029,01029,"Cleburne County, Alabama",00,Total for all sectors,2015,160,1800,15687,71567
0500000US01031,01031,"Coffee County, Alabama",00,Total for all sectors,2015,965,13625,99923,431439
0500000US01033,01033,"Colbert County, Alabama",00,Total for all sectors,2015,1222,21311,189870,816983
0500000US01035,01035,"Conecuh County, Alabama",00,Total for all sectors,2015,198,2622,19164,82447
0500000US01037,01037,"Coosa County, Alabama",00,Total for all sectors,2015,92,955,7813,34204
0500000US01039,01039,"Covington County, Alabama",00,Total for all sectors,2015,821,10501,74504,325348
0500000US01041,01041,"Crenshaw County, Alabama",00,Total for all sectors,2015,210,3281,24875,112697
0500000US01043,01043,"Cullman County, Alabama",00,Total for all sectors,2015,1692,23262,196282,832348
0500000US01045,01045,"Dale County, Alabama",00,Total for all sectors,2015,758,10817,126822,505259
0500000US01047,01047,"Dallas County, Alabama",00,Total for all sectors,2015,738,10418,83509,342844
0500000US01049,01049,"DeKalb County, Alabama",00,Total for all sectors,2015,1073,17898,135558,579609
0500000US01051,01051,"Elmore County, Alabama",00,Total for all sectors,2015,1157,14836,112941,475118
0500000US01053,01053,"Escambia County, Alabama",00,Total for all sectors,2015,728,10327,87328,344451
0500000US01055,01055,"Etowah County, Alabama",00,Total for all sectors,2015,1980,29603,232552,991409
0500000US01057,01057,"Fayette County, Alabama",00,Total for all sectors,2015,306,3077,23402,98060
0500000US01059,01059,"Franklin County, Alabama",00,Total for all sectors,2015,526,9510,74370,315422
0500000US01061,01061,"Geneva County, Alabama",00,Total for all sectors,2015,398,3672,27667,116779
0500000US01063,01063,"Greene County, Alabama",00,Total for all sectors,2015,106,1279,9715,42683
0500000US01065,01065,"Hale County, Alabama",00,Total for all sectors,2015,190,1911,15524,63943
0500000US01067,01067,"Henry County, Alabama",00,Total for all sectors,2015,301,2669,22213,96982
0500000US01069,01069,"Houston County, Alabama",00,Total for all sectors,2015,2703,43013,394806,1666346
0500000US01071,01071,"Jackson County, Alabama",00,Total for all sectors,2015,852,12771,94748,418273
0500000US01073,01073,"Jefferson County, Alabama",00,Total for all sectors,2015,16365,316174,4091832,16001552
0500000US01075,01075,"Lamar County, Alabama",00,Total for all sectors,2015,238,3022,26464,117504
0500000US01077,01077,"Lauderdale County, Alabama",00,Total for all sectors,2015,1999,25389,180486,757557
